[0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
[1, 2, 2, 1, 0, 2, 2, 2, 0, 0, 2, 2, 2, 0, 0, 1, 2, 2, 1, 1, 2, 2, 1, 2, 1, 2, 2, 2, 1, 0, 2, 2, 2, 1, 0, 2, 2, 2, 2, 2, 0, 0, 0, 1, 0, 2, 1, 1, 1, 0, 2, 2, 1, 0, 0, 1, 2, 2, 1, 0, 2, 1, 2, 1, 1, 2, 1, 1, 1, 0, 2, 1, 0, 0, 0, 2, 1, 1, 2, 0, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1]
[2, 2, 2, 1, 1, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 2, 3, 1, 1, 2, 2, 1, 2, 1, 0, 2, 2, 1, 1, 0, 2, 2, 1, 1, 3, 3, 3, 2, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 3, 3, 1, 1, 3, 2, 3, 1, 1, 3, 1, 3, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 3, 1, 1, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1]
[0, 1, 0, 1, 2, 0, 1, 1, 2, 2, 1, 0, 0, 2, 2, 1, 1, 0, 3, 3, 0, 0, 3, 0, 3, 4, 0, 1, 1, 3, 4, 0, 0, 1, 2, 1, 0, 4, 0, 1, 2, 2, 1, 3, 3, 2, 1, 1, 1, 3, 1, 4, 1, 2, 2, 2, 0, 1, 2, 2, 4, 2, 2, 1, 2, 4, 1, 2, 2, 2, 4, 3, 3, 2, 2, 0, 1, 3, 1, 3, 4, 0, 4, 0, 3, 4, 0, 4, 0, 3, 4, 0, 4, 0, 3, 4, 0, 4, 0, 0]
[3, 1, 1, 3, 4, 3, 1, 1, 4, 4, 1, 1, 1, 4, 4, 3, 1, 1, 4, 0, 5, 1, 0, 3, 0, 2, 1, 1, 3, 4, 2, 1, 1, 3, 4, 1, 1, 1, 1, 5, 3, 3, 3, 3, 3, 1, 3, 3, 3, 4, 1, 1, 3, 3, 4, 1, 1, 1, 3, 4, 2, 0, 1, 3, 3, 2, 3, 3, 0, 4, 2, 3, 3, 3, 4, 1, 3, 3, 1, 4, 2, 1, 2, 5, 3, 2, 1, 5, 5, 0, 2, 1, 5, 5, 3, 2, 1, 2, 1, 3]
[2, 5, 4, 2, 3, 4, 5, 5, 2, 2, 1, 1, 5, 2, 3, 2, 5, 1, 2, 3, 4, 5, 2, 5, 3, 0, 5, 5, 2, 3, 0, 1, 1, 2, 2, 1, 0, 1, 1, 6, 2, 2, 2, 2, 3, 1, 2, 2, 2, 2, 1, 1, 2, 2, 3, 6, 5, 1, 2, 2, 0, 2, 6, 2, 2, 0, 2, 3, 2, 2, 0, 2, 3, 2, 3, 1, 2, 3, 5, 3, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2]
[6, 4, 4, 5, 2, 6, 4, 4, 2, 2, 4, 4, 4, 2, 2, 6, 4, 4, 2, 5, 6, 4, 6, 6, 2, 0, 4, 4, 5, 2, 0, 4, 4, 3, 2, 7, 7, 7, 4, 7, 3, 3, 3, 5, 5, 3, 3, 3, 6, 5, 7, 4, 3, 3, 2, 1, 4, 7, 3, 2, 0, 3, 1, 3, 3, 0, 5, 3, 3, 3, 0, 5, 5, 3, 2, 7, 3, 5, 3, 2, 0, 0, 0, 4, 5, 0, 4, 0, 4, 5, 0, 4, 4, 4, 5, 0, 4, 0, 4, 6]
[7, 7, 7, 1, 6, 7, 7, 7, 6, 6, 5, 5, 7, 6, 6, 1, 7, 0, 6, 6, 4, 4, 1, 7, 6, 2, 7, 7, 1, 6, 2, 5, 5, 1, 6, 0, 0, 5, 8, 0, 1, 1, 1, 1, 6, 0, 1, 1, 1, 6, 5, 0, 0, 1, 6, 3, 8, 0, 1, 6, 2, 1, 3, 1, 1, 2, 1, 1, 0, 6, 2, 1, 6, 1, 6, 0, 1, 6, 7, 6, 2, 2, 4, 4, 1, 8, 4, 4, 4, 6, 2, 4, 4, 4, 1, 4, 4, 2, 4, 1]
[1, 1, 1, 5, 9, 1, 1, 1, 9, 5, 0, 0, 1, 8, 9, 1, 1, 0, 4, 4, 3, 1, 1, 1, 4, 6, 1, 1, 5, 9, 3, 0, 0, 5, 5, 3, 0, 0, 0, 3, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 3, 0, 1, 5, 8, 5, 0, 3, 5, 8, 3, 5, 3, 5, 5, 3, 4, 5, 4, 5, 0, 4, 2, 2, 9, 3, 5, 2, 3, 9, 7, 3, 6, 0, 4, 6, 3, 3, 0, 4, 6, 0, 0, 3, 2, 0, 0, 6, 0, 1]
[8, 1, 5, 1, 0, 5, 1, 1, 0, 9, 7, 7, 1, 9, 0, 10, 1, 7, 0, 0, 3, 5, 5, 5, 0, 2, 1, 1, 1, 0, 7, 7, 7, 1, 9, 7, 2, 2, 7, 7, 6, 9, 9, 10, 4, 7, 9, 9, 1, 4, 7, 7, 9, 9, 0, 9, 7, 7, 9, 6, 2, 6, 7, 9, 9, 2, 10, 4, 10, 9, 2, 10, 4, 4, 0, 7, 9, 4, 10, 0, 2, 3, 2, 5, 10, 2, 7, 2, 10, 0, 2, 5, 7, 7, 10, 2, 7, 2, 7, 10]
